Tamanho,Quartos,Preco
30,1,125000
32,1,98000
35,1,135000
36,1,110000
38,1,142000
40,1,128000
42,1,149000
45,1,138000
46,1,165000
48,1,150000
50,1,175000
52,1,152000
55,1,180000
56,1,168000
58,1,195000
60,1,178000
62,1,202000
65,1,185000
68,1,215000
70,1,198000
45,2,185000
48,2,162000
50,2,195000
52,2,178000
55,2,210000
58,2,190000
60,2,225000
62,2,198000
65,2,235000
68,2,215000
70,2,255000
72,2,230000
75,2,270000
78,2,248000
80,2,295000
82,2,275000
85,2,310000
88,2,282000
90,2,325000
92,2,310000
95,2,340000
98,2,315000
100,2,360000
105,2,335000
110,2,385000
115,2,365000
120,2,415000
55,2,185000
60,2,235000
65,2,210000
70,2,265000
75,2,245000
80,2,305000
85,2,285000
90,2,335000
95,2,315000
100,2,365000
105,2,340000
110,2,395000
115,2,370000
120,2,425000
125,2,400000
130,2,455000
70,3,260000
75,3,315000
80,3,290000
85,3,345000
90,3,320000
95,3,375000
100,3,350000
105,3,405000
110,3,380000
115,3,435000
120,3,410000
125,3,465000
130,3,440000
135,3,495000
140,3,470000
145,3,525000
150,3,500000
155,3,555000
160,3,530000
165,3,585000
170,3,560000
175,3,615000
180,3,590000
80,3,335000
85,3,310000
90,3,365000
95,3,340000
100,3,395000
105,3,370000
110,3,425000
115,3,400000
120,3,455000
125,3,430000
130,3,485000
135,3,460000
140,3,515000
145,3,490000
150,3,545000
155,3,520000
160,3,575000
165,3,550000
170,3,605000
175,3,580000
180,3,635000
185,3,610000
190,3,665000
195,3,640000
200,3,695000
120,4,460000
125,4,515000
130,4,490000
135,4,545000
140,4,520000
145,4,575000
150,4,550000
155,4,605000
160,4,580000
165,4,635000
170,4,610000
175,4,665000
180,4,640000
185,4,695000
190,4,670000
195,4,725000
200,4,700000
205,4,755000
210,4,730000
215,4,785000
220,4,760000
225,4,815000
230,4,790000
235,4,845000
240,4,820000
245,4,875000
250,4,850000
140,4,570000
145,4,545000
150,4,600000
155,4,575000
160,4,630000
165,4,605000
170,4,660000
175,4,635000
180,4,690000
185,4,665000
190,4,720000
195,4,695000
200,4,750000
210,4,740000
220,4,810000
230,4,800000
240,4,870000
250,4,860000
260,4,930000
270,4,920000
280,4,990000
290,4,980000
300,4,1050000
180,5,730000
190,5,800000
200,5,790000
210,5,860000
220,5,850000
230,5,920000
240,5,910000
250,5,980000
260,5,970000
270,5,1040000
280,5,1030000
290,5,1100000
300,5,1090000
310,5,1160000
320,5,1150000
330,5,1220000
340,5,1210000
350,5,1280000
360,5,1270000
370,5,1340000
380,5,1330000
390,5,1400000
400,5,1390000
200,5,840000
210,5,830000
220,5,900000
230,5,890000
240,5,960000
250,5,950000
260,5,1020000
270,5,1010000
280,5,1080000
290,5,1070000
300,5,1140000
310,5,1130000
320,5,1200000
330,5,1190000
340,5,1260000
350,5,1250000
360,5,1320000
370,5,1310000
380,5,1380000
390,5,1370000
400,5,1440000
410,5,1430000
420,5,1500000
430,5,1490000
440,5,1560000
450,5,1550000
