Tamanho,Quartos,Preco
30,1,105000
32,1,110000
35,1,120000
36,1,122000
38,1,128000
40,1,135000
42,1,140000
45,1,150000
46,1,152000
48,1,158000
50,1,160000
52,1,165000
55,1,175000
56,1,178000
58,1,182000
60,1,190000
62,1,195000
65,1,200000
68,1,210000
70,1,215000
45,2,170000
48,2,178000
50,2,185000
52,2,190000
55,2,200000
58,2,205000
60,2,210000
62,2,215000
65,2,225000
68,2,232000
70,2,240000
72,2,245000
75,2,260000
78,2,268000
80,2,280000
82,2,285000
85,2,295000
88,2,302000
90,2,310000
92,2,315000
95,2,325000
98,2,332000
100,2,340000
105,2,355000
110,2,370000
115,2,385000
120,2,400000
55,2,205000
60,2,215000
65,2,230000
70,2,245000
75,2,265000
80,2,285000
85,2,300000
90,2,315000
95,2,330000
100,2,345000
105,2,360000
110,2,375000
115,2,390000
120,2,405000
125,2,420000
130,2,435000
70,3,280000
75,3,295000
80,3,310000
85,3,325000
90,3,340000
95,3,355000
100,3,370000
105,3,385000
110,3,400000
115,3,415000
120,3,430000
125,3,445000
130,3,460000
135,3,475000
140,3,490000
145,3,505000
150,3,520000
155,3,535000
160,3,550000
165,3,565000
170,3,580000
175,3,595000
180,3,610000
80,3,315000
85,3,330000
90,3,345000
95,3,360000
100,3,375000
105,3,390000
110,3,405000
115,3,420000
120,3,435000
125,3,450000
130,3,465000
135,3,480000
140,3,495000
145,3,510000
150,3,525000
155,3,540000
160,3,555000
165,3,570000
170,3,585000
175,3,600000
180,3,615000
185,3,630000
190,3,645000
195,3,660000
200,3,675000
120,4,480000
125,4,495000
130,4,510000
135,4,525000
140,4,540000
145,4,555000
150,4,570000
155,4,585000
160,4,600000
165,4,615000
170,4,630000
175,4,645000
180,4,660000
185,4,675000
190,4,690000
195,4,705000
200,4,720000
205,4,735000
210,4,750000
215,4,765000
220,4,780000
225,4,795000
230,4,810000
235,4,825000
240,4,840000
245,4,855000
250,4,870000
140,4,550000
145,4,565000
150,4,580000
155,4,595000
160,4,610000
165,4,625000
170,4,640000
175,4,655000
180,4,670000
185,4,685000
190,4,700000
195,4,715000
200,4,730000
210,4,760000
220,4,790000
230,4,820000
240,4,850000
250,4,880000
260,4,910000
270,4,940000
280,4,970000
290,4,1000000
300,4,1030000
180,5,750000
190,5,780000
200,5,810000
210,5,840000
220,5,870000
230,5,900000
240,5,930000
250,5,960000
260,5,990000
270,5,1020000
280,5,1050000
290,5,1080000
300,5,1110000
310,5,1140000
320,5,1170000
330,5,1200000
340,5,1230000
350,5,1260000
360,5,1290000
370,5,1320000
380,5,1350000
390,5,1380000
400,5,1410000
200,5,820000
210,5,850000
220,5,880000
230,5,910000
240,5,940000
250,5,970000
260,5,1000000
270,5,1030000
280,5,1060000
290,5,1090000
300,5,1120000
310,5,1150000
320,5,1180000
330,5,1210000
340,5,1240000
350,5,1270000
360,5,1300000
370,5,1330000
380,5,1360000
390,5,1390000
400,5,1420000
410,5,1450000
420,5,1480000
430,5,1510000
440,5,1540000
450,5,1570000
